[0.000000] (-) TimerEvent: {}
[0.000475] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000785] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.000844] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000894] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000970] (-) JobUnselected: {'identifier': 'depthimage_to_laserscan'}
[0.001063] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001136] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001184] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001281] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001364] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.001387] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001412] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.001437] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.001464] (-) JobUnselected: {'identifier': 'image_view'}
[0.001490] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001515] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001538] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001558] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001579] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001606] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001631] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001656] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001681] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001703] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001723] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001744] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001764] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.001786] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001806] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.001826] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001846] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001866] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001888] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001909] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001931] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001952] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001972] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.001993] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002014] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002035] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002054] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002075] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002096] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002117] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002138] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002158] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002177] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002208] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002230] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002250] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002271] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.002291] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.002313] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.002332] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.002353] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.002373] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.002396] (cave_depth) JobQueued: {'identifier': 'cave_depth', 'dependencies': OrderedDict({'depthimage_to_laserscan': '/CaveBot-ros/install/depthimage_to_laserscan', 'image_view': '/CaveBot-ros/install/image_view', 'tracetools_image_pipeline': '/CaveBot-ros/install/tracetools_image_pipeline', 'camera_ros': '/CaveBot-ros/install/camera_ros', 'image_proc': '/CaveBot-ros/install/image_proc', 'stereo_image_proc': '/CaveBot-ros/install/stereo_image_proc'})}
[0.002442] (cave_depth) JobStarted: {'identifier': 'cave_depth'}
[0.021288] (cave_depth) JobEnded: {'identifier': 'cave_depth', 'rc': 1}
[0.031836] (-) EventReactorShutdown: {}
